,CLIMBER,MYEAR,SEX,CITIZEN,SHERPA,DEATHNOTE
33929,Ang Tshering Sherpa,1992.0,M,Nepal,sherpa,
34003,Hidetaka Mizukoshi,1988.0,M,Japan,non-sherpa,Illness at BC (autopsy later determined cerebral hemorrhage)
34034,Sher Singh,1992.0,M,India,non-sherpa,
34046,Subba Singh Tamang,1992.0,M,Nepal,non-sherpa,Heart attack at BC
34080,Prem Thapa,1994.0,M,Nepal,non-sherpa,Died of AMS at BC
34081,Mingma Norbu/Nuru Sherpa,1994.0,M,Nepal,sherpa,
34084,Kami Rita Sherpa,1995.0,M,Nepal,sherpa,Died May 6?
34085,Lhakpa Nuru Sherpa,1995.0,M,Nepal,sherpa,
34086,Lobsang Jangbu Sherpa,1996.0,M,Nepal,sherpa,
34087,Dawa Sherpa,1996.0,M,Nepal,sherpa,
34089,Mingmar (Mingma) Tamang,1997.0,M,Nepal,non-sherpa,
34090,Nima Rinji Sherpa,1997.0,M,Nepal,sherpa,Fell below C4 while returning to C2 (c7600m?)
34091,Nawang Dorje Sherpa,1996.0,M,Nepal,sherpa,Died in Ktm on June 7 from complications of AMS at C2 on April 23
34110,Antonio Miranda,1993.0,M,Spain,non-sherpa,
34125,Pascal Debrouwer,1999.0,M,Belgium,non-sherpa,Fell on descent from summit during night of 18/19 May
34223,Michael Robert Matthews,1999.0,M,UK,non-sherpa,Disappeared (probably fell) while descending from summit in afternoon (between S Smt and Balcony)
34312,Tadeusz (Tadek) Kudelski,1999.0,M,Poland,non-sherpa,Disappeared near 2nd Step (probably fell) (last seen rapelling down 2nd Step 4:00-5:00 pm)
34324,Vasili (Vazyl) Kopytko,1999.0,M,Ukraine,non-sherpa,Disappeared during descent from summit (body found Sept 1999 at 8500m in sleeping position). Died from exposure?
34398,Alexander Mitchell Kellas,1921.0,M,UK,non-sherpa,Died of illness on approach march (heart failure) near pass to Kampa Dzong
34486,Mingma Dorje Sherpa,1952.0,M,Nepal,sherpa,"Killed by falling ice just above C5 (accident at 10 am, but died later that afternoon from injuries)"
